variable,condition,value,crisis_count,crisis_rate,governance_health_mean,total_logs_mean,classified_signals_mean,final_stress_mean
workload,baseline,0.3,100,1.0000,35.67,2.18,1.35,0.2841
workload,baseline,0.5,100,1.0000,35.41,3.33,2.20,0.3289
workload,baseline,0.75,100,1.0000,36.33,2.82,1.94,0.3830
workload,baseline,0.95,100,1.0000,37.87,2.29,1.67,0.4250
workload,naive,0.3,100,1.0000,26.89,2.67,1.17,0.2868
workload,naive,0.5,100,1.0000,27.86,2.60,1.24,0.3273
workload,naive,0.75,100,1.0000,28.21,2.55,1.25,0.3826
workload,naive,0.95,100,1.0000,28.20,2.51,1.23,0.4262
workload,grid,0.3,45,0.4500,40.60,17.93,7.59,0.1902
workload,grid,0.5,0,0.0000,51.55,17.59,8.36,0.1500
workload,grid,0.75,0,0.0000,53.68,15.57,8.52,0.1488
workload,grid,0.95,4,0.0400,55.42,13.17,8.39,0.1555
cpi,baseline,0.1,100,1.0000,34.84,1.94,1.10,0.3838
cpi,baseline,0.3,100,1.0000,35.66,2.32,1.52,0.3848
cpi,baseline,0.5,100,1.0000,36.33,2.82,1.94,0.3830
cpi,baseline,0.7,100,1.0000,40.31,3.18,2.54,0.3832
cpi,baseline,0.9,100,1.0000,43.98,3.39,3.16,0.3825
cpi,naive,0.1,100,1.0000,26.88,2.42,1.05,0.3829
cpi,naive,0.3,100,1.0000,27.52,2.50,1.16,0.3822
cpi,naive,0.5,100,1.0000,28.21,2.55,1.25,0.3826
cpi,naive,0.7,100,1.0000,29.59,2.58,1.40,0.3831
cpi,naive,0.9,100,1.0000,30.40,2.59,1.48,0.3840
cpi,grid,0.1,29,0.2900,53.10,10.68,7.79,0.1967
cpi,grid,0.3,4,0.0400,55.65,12.92,8.35,0.1543
cpi,grid,0.5,0,0.0000,53.68,15.57,8.52,0.1488
cpi,grid,0.7,0,0.0000,52.09,18.00,8.79,0.1490
cpi,grid,0.9,0,0.0000,50.91,20.55,9.09,0.1519
doc,baseline,0.1,100,1.0000,41.77,1.67,1.38,0.3830
doc,baseline,0.25,100,1.0000,36.33,2.82,1.94,0.3830
doc,baseline,0.5,100,1.0000,32.80,4.64,2.74,0.3830
doc,baseline,0.9,100,1.0000,32.54,7.61,4.36,0.3830
doc,naive,0.1,100,1.0000,28.43,2.22,1.11,0.3826
doc,naive,0.25,100,1.0000,28.21,2.55,1.25,0.3826
doc,naive,0.5,100,1.0000,27.66,3.09,1.43,0.3826
doc,naive,0.9,100,1.0000,27.51,3.79,1.74,0.3826
doc,grid,0.1,0,0.0000,54.77,14.63,8.56,0.1488
doc,grid,0.25,0,0.0000,53.68,15.57,8.52,0.1488
doc,grid,0.5,0,0.0000,52.78,16.99,8.74,0.1488
doc,grid,0.9,0,0.0000,51.29,19.20,8.83,0.1488
env,baseline,0.2,100,1.0000,36.77,2.72,1.90,0.3823
env,baseline,0.45,100,1.0000,36.33,2.82,1.94,0.3830
env,baseline,0.7,100,1.0000,36.31,2.84,1.93,0.3863
env,baseline,0.9,100,1.0000,36.53,2.88,1.96,0.3865
env,naive,0.2,100,1.0000,28.28,2.48,1.22,0.3806
env,naive,0.45,100,1.0000,28.21,2.55,1.25,0.3826
env,naive,0.7,100,1.0000,28.39,2.56,1.27,0.3851
env,naive,0.9,100,1.0000,28.23,2.63,1.29,0.3868
env,grid,0.2,0,0.0000,53.90,15.42,8.53,0.1453
env,grid,0.45,0,0.0000,53.68,15.57,8.52,0.1488
env,grid,0.7,0,0.0000,53.41,15.61,8.48,0.1543
env,grid,0.9,0,0.0000,53.50,15.52,8.54,0.1583
