condition,replication,crisis,crisis_tick,final_stress,total_logs,classified_signals,governance_health
baseline,0,True,308,0.4038,2,1,28.42
baseline,1,True,308,0.3664,3,1,22.79
baseline,2,True,308,0.4323,3,1,22.79
baseline,3,True,308,0.3798,2,2,45.92
baseline,4,True,308,0.3670,6,4,35.08
baseline,5,True,308,0.3942,3,2,34.46
baseline,6,True,308,0.3768,3,3,46.12
baseline,7,True,308,0.3794,1,1,45.71
baseline,8,True,308,0.3733,1,1,45.71
baseline,9,True,308,0.3785,2,2,45.92
baseline,10,True,308,0.3602,2,1,28.42
baseline,11,True,308,0.3712,2,1,28.42
baseline,12,True,308,0.3806,3,1,22.79
baseline,13,True,308,0.3945,3,2,34.46
baseline,14,True,308,0.3925,3,1,22.79
baseline,15,True,308,0.3926,2,1,28.42
baseline,16,True,308,0.3811,2,1,28.42
baseline,17,True,308,0.3937,2,1,28.42
baseline,18,True,308,0.3897,2,1,28.42
baseline,19,True,308,0.3817,4,3,37.58
baseline,20,True,308,0.3971,2,2,45.92
baseline,21,True,308,0.3601,3,1,22.79
baseline,22,True,308,0.3822,5,4,39.54
baseline,23,True,308,0.3802,1,1,45.71
baseline,24,True,308,0.3915,3,3,46.12
baseline,25,True,308,0.3878,2,2,45.92
baseline,26,True,308,0.4241,2,1,28.42
baseline,27,True,308,0.3694,6,3,29.25
baseline,28,True,308,0.3695,3,3,46.12
baseline,29,True,308,0.3956,1,1,45.71
baseline,30,True,308,0.3689,3,1,22.79
baseline,31,True,308,0.3785,1,1,45.71
baseline,32,True,308,0.3633,3,1,22.79
baseline,33,True,308,0.3733,3,3,46.12
baseline,34,True,308,0.3883,3,2,34.46
baseline,35,True,308,0.3700,2,1,28.42
baseline,36,True,308,0.3575,4,3,37.58
baseline,37,True,308,0.3566,2,2,45.92
baseline,38,True,308,0.3735,4,3,37.58
baseline,39,True,308,0.3954,1,1,45.71
baseline,40,True,308,0.3753,1,1,45.71
baseline,41,True,308,0.3943,4,2,28.83
baseline,42,True,308,0.3832,3,2,34.46
baseline,43,True,308,0.4341,1,1,45.71
baseline,44,True,308,0.4066,5,4,39.54
baseline,45,True,308,0.3846,1,1,45.71
baseline,46,True,308,0.4078,5,2,25.54
baseline,47,True,308,0.3911,1,1,45.71
baseline,48,True,308,0.3982,4,3,37.58
baseline,49,True,308,0.3864,2,1,28.42
baseline,50,True,308,0.3832,1,1,45.71
baseline,51,True,308,0.3653,2,1,28.42
baseline,52,True,308,0.3757,2,1,28.42
baseline,53,True,308,0.4034,3,3,46.12
baseline,54,True,308,0.3775,4,3,37.58
baseline,55,True,308,0.3890,4,3,37.58
baseline,56,True,308,0.3774,3,3,46.12
baseline,57,True,308,0.3801,3,3,46.12
baseline,58,True,308,0.3908,4,1,20.08
baseline,59,True,308,0.3671,2,1,28.42
baseline,60,True,308,0.3760,2,1,28.42
baseline,61,True,308,0.3761,3,1,22.79
baseline,62,True,308,0.3819,3,2,34.46
baseline,63,True,308,0.3763,7,6,41.95
baseline,64,True,308,0.3826,7,4,31.95
baseline,65,True,308,0.3569,2,1,28.42
baseline,66,True,308,0.3974,1,1,45.71
baseline,67,True,308,0.3791,3,3,46.12
baseline,68,True,308,0.3716,3,1,22.79
baseline,69,True,308,0.3744,2,2,45.92
baseline,70,True,308,0.3958,2,2,45.92
baseline,71,True,308,0.3961,3,2,34.46
baseline,72,True,308,0.3781,4,2,28.83
baseline,73,True,308,0.3673,3,3,46.12
baseline,74,True,308,0.3735,3,2,34.46
baseline,75,True,308,0.3788,5,4,39.54
baseline,76,True,308,0.4216,2,1,28.42
baseline,77,True,308,0.3838,5,3,32.54
baseline,78,True,308,0.3804,2,2,45.92
baseline,79,True,308,0.3701,3,2,34.46
baseline,80,True,308,0.3822,4,2,28.83
baseline,81,True,308,0.3661,3,2,34.46
baseline,82,True,308,0.3864,3,3,46.12
baseline,83,True,308,0.3837,2,2,45.92
baseline,84,True,308,0.3905,1,1,45.71
baseline,85,True,308,0.3872,3,2,34.46
baseline,86,True,308,0.4001,5,4,39.54
baseline,87,True,308,0.3796,3,2,34.46
baseline,88,True,308,0.3715,5,3,32.54
baseline,89,True,308,0.3944,5,4,39.54
baseline,90,True,308,0.3829,3,2,34.46
baseline,91,True,308,0.3897,2,1,28.42
baseline,92,True,308,0.3808,3,2,34.46
baseline,93,True,308,0.3834,3,2,34.46
baseline,94,True,308,0.3799,1,1,45.71
baseline,95,True,308,0.3771,2,1,28.42
baseline,96,True,308,0.3732,2,2,45.92
baseline,97,True,308,0.3845,2,2,45.92
baseline,98,True,308,0.3690,3,1,22.79
baseline,99,True,308,0.3726,2,2,45.92
naive,0,True,55,0.3884,3,1,22.79
naive,1,True,70,0.3680,2,1,28.42
naive,2,True,53,0.4069,2,1,28.42
naive,3,True,51,0.3726,2,1,28.42
naive,4,True,62,0.4052,4,3,37.58
naive,5,True,48,0.3838,2,1,28.42
naive,6,True,34,0.3735,2,1,28.42
naive,7,True,72,0.3722,2,1,28.42
naive,8,True,102,0.3942,2,1,28.42
naive,9,True,98,0.3743,2,1,28.42
naive,10,True,59,0.3868,3,1,22.79
naive,11,True,73,0.3746,2,1,28.42
naive,12,True,56,0.3889,4,1,20.08
naive,13,True,69,0.3612,2,1,28.42
naive,14,True,68,0.3790,3,1,22.79
naive,15,True,61,0.3665,3,1,22.79
naive,16,True,68,0.3738,2,1,28.42
naive,17,True,62,0.3893,2,1,28.42
naive,18,True,62,0.3879,3,1,22.79
naive,19,True,69,0.3716,2,1,28.42
naive,20,True,88,0.3688,3,2,34.46
naive,21,True,74,0.3799,2,1,28.42
naive,22,True,46,0.4077,2,1,28.42
naive,23,True,80,0.3691,2,1,28.42
naive,24,True,58,0.3776,3,2,34.46
naive,25,True,70,0.3682,3,2,34.46
naive,26,True,77,0.3854,2,1,28.42
naive,27,True,46,0.3851,4,1,20.08
naive,28,True,63,0.3928,3,2,34.46
naive,29,True,84,0.3797,2,1,28.42
naive,30,True,65,0.3698,3,1,22.79
naive,31,True,70,0.3867,2,1,28.42
naive,32,True,113,0.3744,3,1,22.79
naive,33,True,46,0.3829,2,1,28.42
naive,34,True,79,0.3786,2,1,28.42
naive,35,True,71,0.3802,2,1,28.42
naive,36,True,78,0.3807,3,1,22.79
naive,37,True,64,0.3805,2,1,28.42
naive,38,True,54,0.3916,3,2,34.46
naive,39,True,79,0.3914,2,1,28.42
naive,40,True,50,0.4054,2,1,28.42
naive,41,True,44,0.4054,4,2,28.83
naive,42,True,60,0.3642,4,2,28.83
naive,43,True,78,0.3861,2,1,28.42
naive,44,True,80,0.3725,2,1,28.42
naive,45,True,65,0.3956,2,1,28.42
naive,46,True,64,0.3796,4,2,28.83
naive,47,True,74,0.3608,2,1,28.42
naive,48,True,60,0.3873,2,1,28.42
naive,49,True,74,0.3811,3,1,22.79
naive,50,True,92,0.3809,2,1,28.42
naive,51,True,58,0.3659,3,1,22.79
naive,52,True,65,0.3911,3,1,22.79
naive,53,True,67,0.3778,2,1,28.42
naive,54,True,54,0.3925,2,1,28.42
naive,55,True,68,0.3790,2,1,28.42
